procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  57892 807120 249592 3628320    0    0     0     0  574  883  1  1 98  0  0
 0  0  57892 807376 249592 3628568    0    0   584     0  596  941  0  1 98  0  0
 0  0  57892 808768 249592 3628640    0    0     0    56  515  883  1  1 98  0  0
 0  0  57892 815584 249596 3628184    0    0     0    68  531  892  1  1 98  0  0
 0  0  57892 815584 249596 3625056    0    0     0     0  482  793  1  1 99  0  0
 0  0  57892 815332 249596 3625060    0    0     0    56  486  760  1  1 98  0  0
 0  0  57892 799356 249604 3638336    0    0     0    60 1517 2424  4  2 95  0  0
 0  0  57892 807980 249604 3638512    0    0     0     0  896 1591  2  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 828644 249608 3622048    0    0     0   296  563  959  1  1 98  0  0
 0  0  57892 827892 249608 3622048    0    0     0     0  435  725  0  1 99  0  0
 0  0  57892 823768 249608 3622048    0    0     0    44  635 1588  2  2 96  0  0
 0  0  57892 823516 249608 3621792    0    0     0     0  495  847  1  1 98  0  0
 0  0  57892 829836 249608 3618400    0    0     0     0  696 1273  1  2 98  0  0
 0  0  57892 829084 249608 3618400    0    0     0   144  544  870  1  1 98  0  0
 0  0  57892 829084 249608 3618400    0    0     0     0  431  747  1  1 98  0  0
 0  0  57892 828836 249608 3618400    0    0     0    68  426  722  1  1 99  0  0
 0  0  57892 833696 249608 3618404    0    0     0     0  517  908  1  1 98  0  0
 0  0  57892 832968 249608 3618404    0    0     0     0  442  731  1  1 99  0  0
 0  0  57892 832716 249608 3618404    0    0     0    60  368  726  0  1 98  0  0
 1  0  57892 832464 249612 3618404    0    0     0    64  400  666  1  1 98  0  0
 0  0  57892 832464 249616 3618404    0    0     0   212  388  672  0  1 99  0  0
 1  0  57892 831204 249616 3618636    0    0     0    56 2005 3823  4  1 94  0  0
 2  0  57892 795976 249628 3630344    0    0     0   148 3786 5733  9  3 87  0  0
 0  0  57892 786928 249628 3630724    0    0     0    60 2178 4050  5  3 91  0  0
 0  0  57892 796148 249628 3622288    0    0     0     0  611 1079  1  1 98  0  0
 0  0  57892 802532 249628 3622068    0    0     0     0  513  789  1  1 99  0  0
 0  0  57892 809352 249628 3622072    0    0     0    60  488  901  1  1 98  0  0
 0  0  57892 808852 249636 3622072    0    0     0    32  498  755  1  1 99  0  0
 0  0  57892 808600 249636 3618652    0    0     0     0  479  955  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 815124 249636 3618488    0    0     0   108  497  834  1  1 98  0  0
 0  0  57892 822516 249636 3617576    0    0     0     0 1807 1075  3  1 96  0  0
 3  0  57892 816964 249636 3628572    0    0     0     0  812 1422  1  1 98  0  0
 1  0  57892 796144 249636 3636428    0    0     0    20 2416 4272  5  3 92  0  0
 0  0  57892 794008 249640 3634768    0    0     0    20 4903 5164  7  2 91  0  0
 0  0  57892 793280 249640 3640216    0    0     0    60 4421 5138  6  3 92  0  0
 1  0  57892 798948 249640 3640204    0    0     0     0 2481 4930  5  3 92  0  0
 0  0  57892 810668 249644 3632016    0    0     0   136 2390 4240  4  2 95  0  0
 1  0  57892 786456 249656 3657200    0    0     0   140 7492 9532 32  5 63  0  0
 0  0  57892 791012 249656 3657200    0    0     0     0  598  978  1  1 98  0  0
 3  0  57892 801716 249656 3641160    0    0     0    48 2142 4042  6  2 92  0  0
 0  0  57892 783960 249656 3654884    0    0     0     0 4767 9264 15  4 81  0  0
 0  0  57892 781692 249656 3663184    0    0     0     0 1236 2094  3  2 95  0  0
 0  0  57892 810132 249660 3638652    0    0     0   100  549  936  1  1 98  0  0
 0  0  57892 811508 249660 3638604    0    0     0     0  581  918  1  2 98  0  0
 0  0  57892 817116 249660 3638412    0    0     0    68  583  889  1  1 98  0  0
 0  0  57892 822388 249660 3635436    0    0     0     0  513  816  1  1 98  0  0
 0  0  57892 822136 249660 3629292    0    0     0     0  477  726  1  1 98  0  0
 0  0  57892 828976 249660 3627468    0    0     0    48  694 1233  1  1 97  0  0
 0  0  57892 826204 249668 3627448    0    0     0   232  662 1327  1  1 98  0  0
 0  0  57892 830084 249668 3627448    0    0     0     0  934 1830  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 824572 249668 3627448    0    0     0    56 1322 2482  4  2 95  0  0
 0  0  57892 829812 249668 3627452    0    0     0     0  604 1094  1  2 97  0  0
 0  0  57892 831752 249668 3627452    0    0     0     0  598  936  1  1 98  0  0
 0  0  57892 821448 249672 3635780    0    0     0    76  575 1182  1  1 98  0  0
 0  0  57892 827300 249672 3627512    0    0     0     0  576 1066  1  1 98  0  0
